"","metaanalysis","R.Min.","R.1st Qu.","R.Median","R.Mean","R.3rd Qu.","R.Max.","metaanalysis","Z.Min.","Z.1st Qu.","Z.Median","Z.Mean","Z.3rd Qu.","Z.Max."
"1","Arnqvuist, 1996",-0.19100,-0.01450, 0.16200, 0.06167, 0.18800, 0.21400,Arnqvuist, 1996,-0.19340,-0.01497, 0.16340, 0.06247, 0.19040, 0.21740
"2","Beasley 2013",-0.04996, 0.19280, 0.40190, 0.35020, 0.55930, 0.64710,Beasley 2013,-0.05000, 0.19820, 0.43550, 0.39780, 0.63510, 0.77030
"3","Beauchamp 2008",-0.87600, 0.19870, 0.28150, 0.27720, 0.42280, 0.86600,Beauchamp 2008,-1.35800, 0.20140, 0.28930, 0.31410, 0.45170, 1.31700
"4","Bender, 1998",-0.07000,-0.05000,-0.05000,-0.01556, 0.05000, 0.07000,Bender, 1998,-0.07010,-0.05000,-0.05000,-0.01556, 0.05000, 0.07010
"5","Blackburn 2009",-0.32400,-0.06700, 0.14200, 0.09221, 0.24700, 0.65100,Blackburn 2009,-0.33610,-0.06710, 0.14300, 0.09808, 0.25220, 0.77700
"6","Castellanos, 2012", 0.29040, 0.29040, 0.29040, 0.29040, 0.29040, 0.29040,Castellanos, 2012, 0.29900, 0.29900, 0.29900, 0.29900, 0.29900, 0.29900
"7","Constantini, 2009", 0.11270, 0.32490, 0.53710, 0.40300, 0.54820, 0.55930,Constantini, 2009, 0.11320, 0.35660, 0.60010, 0.44840, 0.61590, 0.63180
"8","Endara, 2011",-0.98880, 0.06490, 0.34520, 0.27240, 0.82570, 0.99960,Endara, 2011,-2.59000, 0.06500, 0.36000, 0.49680, 1.17500, 4.26000
"9","Garamszegi 2012", 0.01000, 0.11480, 0.15350, 0.22330, 0.30000, 0.54000,Garamszegi 2012, 0.01000, 0.11530, 0.15470, 0.23540, 0.30960, 0.60420
"10","Leung & Forbes, 1986",-0.06000, 0.16600, 0.20600, 0.20140, 0.27750, 0.38100,Leung & Forbes, 1986,-0.06010, 0.16760, 0.20900, 0.20720, 0.28510, 0.40120
"11","Mautz, 2013",-0.17810,-0.04000, 0.02000, 0.04383, 0.11940, 0.27290,Mautz, 2013,-0.18000,-0.04000, 0.02000, 0.04471, 0.12000, 0.28000
"12","Moller & Ninni, 1998",-0.26400,-0.10180,-0.04950,-0.03523, 0.08050, 0.23000,Moller & Ninni, 1998,-0.27040,-0.10210,-0.04955,-0.03593, 0.08068, 0.23420
"13","Moller & Thornhill, 1997",-0.04750, 0.06852, 0.09625, 0.13950, 0.22420, 0.37630,Moller & Thornhill, 1997,-0.04750, 0.06862, 0.09655, 0.14280, 0.22810, 0.39570
"14","Shafer 2013",-0.61070, 0.04996, 0.19740, 0.23320, 0.41360, 0.91040,Shafer 2013,-0.71000, 0.05000, 0.20000, 0.26340, 0.44000, 1.53000
"15","Watson, 2013", 0.00779, 0.15720, 0.29880, 0.37460, 0.63780, 0.78120,Watson, 2013, 0.00779, 0.15880, 0.31030, 0.45530, 0.78770, 1.04900
